age,fnlwgt,education.num,hours.per.week
40,225978,10,40
33,192663,9,35
38,30916,12,60
47,207120,11,38
66,216856,14,50
62,96099,9,40
56,201318,5,50
21,162228,9,30
20,94401,9,40
54,816750,9,40
29,152461,13,50
25,178037,9,40
36,176101,10,60
32,29235,10,40
48,272778,10,32
17,116626,7,18
35,348771,7,36
45,40666,11,60
42,66460,10,45
19,223669,10,30
17,170916,6,40
54,141663,9,40
22,88126,13,40
44,110396,14,56
36,129263,9,40
65,115890,13,20
33,156015,11,40
28,190911,9,40
20,236592,8,35
31,258849,11,40
34,221396,10,40
34,234960,13,48
42,79531,10,55
36,461337,10,40
34,252529,13,48
50,178530,15,60
44,174189,10,60
48,45612,9,37
32,131534,9,40
77,84979,16,40
25,178505,10,45
24,214542,7,40
22,347530,9,35
27,189777,9,40
47,162034,13,70
34,182926,9,43
22,188274,9,40
48,353012,9,40
43,60949,9,40
43,52849,13,40
29,236436,9,40
59,100776,11,40
26,192506,13,35
22,106700,12,27
27,33429,10,40
36,36425,10,35
39,196308,10,24
43,191149,9,40
20,190457,9,30
17,226717,8,20
38,65706,10,38
21,39236,10,50
25,485496,9,40
37,140673,10,40
26,166051,13,40
42,397346,9,40
22,249727,10,20
30,205950,10,40
37,107164,6,50
48,81154,11,48
33,117779,9,46
45,187370,14,70
45,33798,14,40
55,68006,4,60
43,111483,10,40
49,179869,9,40
30,182089,9,85
50,120781,13,60
32,198068,7,40
35,79586,14,40
47,31339,10,40
30,129707,13,35
47,109832,9,60
17,73338,7,20
20,186014,10,12
41,575442,10,40
37,118909,9,35
31,174704,9,50
29,24153,10,40
56,131608,10,40
42,271521,10,40
42,344572,9,40
21,286824,10,12
52,284329,11,40
47,112200,13,45
32,177216,13,40
25,167031,6,40
46,193047,13,37
34,204375,15,60
49,171540,10,60
39,37314,14,50
46,174370,10,55
26,366219,9,60
53,205288,9,35
25,194342,9,40
21,160968,10,40
43,355728,9,40
40,182302,9,40
24,175254,10,40
55,249072,9,60
20,190963,10,30
19,195985,9,50
35,150125,11,40
28,177955,7,40
31,31740,11,55
30,97521,13,50
55,164857,10,40
61,232308,6,40
37,105044,10,42
51,99185,12,40
36,309122,9,35
60,142922,9,50
25,295108,9,25
30,188569,5,40
36,180805,9,40
61,128831,9,40
27,214858,9,40
41,32533,11,45
37,314963,10,40
39,147258,6,40
29,52199,9,40
21,132243,12,5
31,452405,1,35
28,251854,10,40
33,227282,9,60
46,56841,9,40
61,34632,8,40
49,201498,9,40
41,167106,13,35
39,32650,11,60
27,83517,9,60
37,329026,9,40
23,117618,13,24
58,331474,9,20
30,233980,7,40
31,114691,9,40
78,136198,13,15
53,30244,12,40
52,163998,9,45
53,163678,10,40
29,224858,10,60
21,399022,9,24
46,191389,9,28
40,226388,9,40
38,423616,11,36
35,103986,11,40
23,237044,9,12
31,168906,13,50
50,370733,9,40
59,114401,9,19
60,313946,9,40
59,308118,12,40
36,65624,13,40
18,77845,10,15
29,185908,13,55
42,121287,9,45
21,52753,9,40
17,325171,6,35
44,230592,13,35
49,263568,13,60
57,425161,14,40
63,95680,10,18
34,284843,9,60
48,320421,9,50
38,208358,9,40
45,241350,9,48
58,142076,9,39
32,186788,9,40
22,177107,11,35
38,103925,9,35
44,205051,6,40
56,346635,14,60
66,140456,13,40
50,35224,9,40
30,70377,9,40
38,303817,10,40
65,185001,6,20
34,157747,13,40
39,48915,9,40
57,257200,9,40
26,257405,3,40
28,107411,9,45
29,250967,11,48
27,153546,13,40
25,218667,3,40
60,255711,13,60
49,138370,14,40
46,81497,9,48
22,243842,5,40
52,194259,4,50
28,175262,12,40
20,691830,9,35
29,412435,9,40
55,125000,15,60
42,334522,9,40
19,151801,6,39
38,220421,13,40
59,141326,11,50
46,208872,11,40
47,282830,12,40
26,134287,11,35
17,140027,7,25
27,92431,10,40
42,265698,14,40
36,95336,9,45
28,411950,9,40
47,156728,9,55
33,287878,10,26
25,108505,9,45
27,214385,9,40
38,185325,9,40
50,421561,10,40
47,191389,9,35
26,224361,10,40
28,55360,10,50
35,112512,9,40
31,86143,9,40
38,196554,15,35
49,324791,13,50
51,334679,11,40
61,168654,9,40
33,212918,10,70
57,124852,10,40
20,147171,10,40
24,235894,9,40
43,198096,9,40
18,27920,7,25
25,231638,10,24
46,394860,9,40
39,177907,9,40
31,187560,9,40
38,99138,13,38
29,31778,9,25
30,303485,10,40
45,357540,13,55
49,177114,14,60
27,256764,12,40
58,259929,16,43
51,427781,9,40
33,168981,14,50
39,343476,9,30
40,341204,10,30
48,164966,13,40
36,51100,10,40
32,180799,10,60
45,359808,12,40
18,703067,7,20
32,199765,13,50
34,49469,13,50
17,148522,7,15
24,121313,9,40
49,157569,9,40
43,120277,9,40
61,56009,10,40
37,257295,10,75
35,112077,9,40
56,75785,9,40
44,242521,13,50
38,200220,9,40
41,325786,9,40
45,128736,6,40
43,211763,16,24
45,149218,13,77
38,255621,9,40
35,133906,9,40
38,275338,13,40
24,32950,13,35
39,207824,9,60
36,156667,13,50
27,133425,9,50
36,196529,14,40
45,212954,10,50
19,97261,9,40
39,24342,13,40
24,236769,12,40
21,113106,10,30
35,255635,5,40
52,287927,9,40
41,82049,9,40
49,215389,13,48
29,151382,11,50
38,278924,13,40
45,255014,10,55
20,178517,10,40
23,70919,13,40
61,110920,6,40
32,40142,13,40
34,185216,10,40
41,239833,9,50
38,238342,13,42
30,186346,13,50
56,571017,10,15
41,29324,9,45
58,116901,9,25
32,227931,13,40
22,118310,12,16
23,228230,10,47
38,186934,9,40
28,230856,10,50
21,275395,10,40
46,148254,9,60
22,119838,10,10
42,33795,9,45
54,168553,13,40
27,141545,9,45
52,103794,11,35
53,102828,9,35
35,334291,10,50
50,147629,14,45
41,174575,9,45
57,212448,13,45
28,334368,11,40
36,169037,9,40
50,172511,10,40
44,172032,11,51
49,124672,9,40
30,97453,9,54
31,209276,9,40
32,148207,11,40
48,97176,9,40
46,155489,9,58
37,108140,14,45
46,185041,9,75
44,408717,9,50
72,157913,13,17
49,200471,2,40
46,358533,10,40
30,393965,12,25
27,109881,13,20
40,43711,9,45
40,365986,13,40
41,225892,10,48
43,78765,10,40
37,167735,11,40
55,290124,3,40
50,92486,10,40
63,214143,13,40
34,120461,10,50
40,91836,9,45
43,58447,16,55
20,105312,10,18
39,208109,9,60
48,318331,9,40
42,195124,7,50
41,332703,9,40
51,237630,9,50
23,120910,9,35
30,233993,13,15
45,201127,9,40
31,159187,10,40
49,23074,10,40
32,193260,10,40
68,145638,10,40
32,72338,11,40
25,101684,6,40
46,247992,4,40
28,288598,9,35
40,204235,14,50
29,211482,13,40
61,171831,9,45
62,199198,11,40
21,231866,9,65
21,105577,10,30
43,336513,10,40
44,569761,11,40
54,286989,1,60
54,138852,10,45
49,133969,16,50
24,236696,10,30
44,107845,12,56
33,204742,10,44
18,335665,7,24
32,154087,9,40
53,91911,9,48
18,39411,7,24
37,160120,14,40
61,146788,4,40
28,204734,10,40
51,157043,7,40
39,97136,9,40
23,188950,11,40
67,423561,10,40
44,193524,10,40
32,127610,13,32
30,348802,9,40
41,214838,14,60
25,371987,9,40
25,135645,14,20
49,131302,11,44
22,369387,7,35
38,29702,13,45
45,358701,8,10
48,38950,13,50
18,173255,9,25
21,318865,10,30
20,79691,9,40
43,185670,2,21
25,197303,13,40
34,33945,9,55
33,388741,10,38
26,147719,13,20
22,151105,10,18
25,76978,9,35
35,224512,14,55
31,43953,13,35
21,131230,9,37
35,238802,9,50
34,27494,9,48
65,221026,9,20
23,161874,10,40
41,165798,3,40
35,172694,9,40
36,182074,9,40
22,333158,9,48
59,148844,9,40
44,131650,12,54
40,69333,13,40
26,76491,14,20
55,271710,10,45
30,345705,10,40
17,241185,8,20
36,266461,9,48
25,232914,13,38
21,347292,9,40
29,198997,9,20
80,202483,9,16
66,169804,13,40
37,186434,9,40
61,355645,5,20
64,103643,9,15
40,306495,13,35
31,319146,11,40
42,183479,11,40
77,235775,9,25
39,51100,9,40
64,66634,4,40
20,121568,9,50
31,255830,12,45
36,107218,10,55
25,167835,13,40
24,107882,9,40
59,348430,13,43
35,150042,9,40
26,73312,7,15
47,115358,9,40
25,263300,9,50
30,175931,10,44
46,197332,14,46
33,189265,13,40
43,169383,13,45
28,176683,11,70
44,346594,9,40
50,240612,13,60
38,134444,10,72
61,180632,9,40
24,73928,11,20
19,100790,9,40
53,174040,10,40
42,97688,9,47
49,420282,10,40
47,191411,14,45
37,201531,12,40
37,108293,12,38
42,50122,9,60
54,48358,9,40
21,142766,10,40
40,188942,10,40
34,204991,10,44
47,146497,10,16
63,97855,14,50
37,160035,10,40
23,344278,10,25
46,122026,13,44
21,377931,10,48
39,235379,12,40
29,266070,13,80
49,115613,5,40
51,134808,9,40
56,204049,10,50
40,165815,10,40
21,57916,9,40
50,113290,9,15
40,59460,10,38
32,197457,9,38
28,130620,7,40
24,281403,9,98
33,155781,15,40
27,228476,13,50
25,179462,4,40
45,199590,10,40
34,113530,13,40
30,231413,10,40
41,117585,9,40
67,123393,7,40
35,35626,10,15
31,367314,9,40
73,181902,14,10
35,240467,9,40
43,64048,5,44
44,245317,10,56
44,171484,6,40
30,83066,9,40
28,83879,9,40
61,175331,6,40
18,266681,7,20
39,85319,15,60
40,163725,13,40
52,189728,9,35
28,60288,9,40
41,204415,13,48
37,136137,10,40
20,333505,9,30
32,127651,9,40
25,122489,13,60
56,91262,9,45
31,381153,6,40
22,88050,12,6
19,223392,9,15
35,178322,13,40
30,229741,9,40
37,162164,9,40
45,58683,10,40
24,390867,14,40
36,238415,9,40
59,291529,6,52
43,403276,9,40
35,30529,9,40
28,197113,9,50
36,89202,13,50
39,70240,3,40
34,177733,5,35
36,272944,11,60
24,259510,13,30
36,172256,9,44
22,184756,10,30
51,117253,9,40
47,79627,15,50
24,34918,11,38
28,216814,9,40
64,187601,10,40
51,280278,6,40
37,125933,9,40
38,65466,13,50
41,194636,13,65
47,155489,9,55
26,270151,13,40
38,364782,9,40
27,318639,6,60
39,290321,11,50
22,206815,9,40
30,302149,13,40
36,156352,5,40
24,190709,10,65
42,252518,15,40
33,279173,9,60
37,224541,10,40
30,185027,13,40
35,283122,10,45
56,161662,13,42
38,188612,10,45
47,318593,9,25
33,183612,9,40
48,118717,13,40
31,473133,14,40
72,156310,6,12
30,228406,9,40
24,336088,9,50
43,111895,13,50
30,154882,15,35
26,360252,12,40
19,36012,9,40
20,122649,9,30
35,263081,9,60
20,259496,10,20
41,564135,14,40
62,202056,13,40
39,165215,14,18
18,156764,7,40
38,133963,13,50
34,426431,13,40
42,115932,13,40
49,239865,7,40
30,504725,6,18
21,228255,10,30
35,192923,9,40
52,238959,14,32
44,404599,9,40
30,56004,10,40
51,215854,13,50
45,77764,12,40
66,126511,10,45
18,94196,9,25
34,176185,13,40
53,312446,13,60
23,259496,9,40
50,140741,7,40
25,63996,9,40
28,229223,11,36
41,193626,9,40
23,287681,9,40
30,54608,10,48
30,98733,10,20
43,152159,13,40
23,214542,10,50
24,329530,5,45
23,23438,9,40
29,102345,10,52
36,61299,10,40
66,174276,10,50
62,118725,9,72
38,111499,10,50
52,191529,13,40
19,175507,9,30
46,326857,14,65
32,267161,13,30
30,66194,13,60
35,204621,12,40
35,200445,9,40
23,46561,9,60
44,100584,9,40
27,185127,11,40
49,34446,10,40
56,95763,6,45
52,416059,13,40
36,37778,14,70
32,197867,11,50
34,226296,7,40
68,144761,9,20
49,81973,10,40
47,223342,9,35
25,305472,12,48
38,175441,9,40
19,247298,8,20
27,243569,7,40
50,105010,9,20
37,171150,9,50
37,148581,9,50
38,64879,10,40
20,147352,9,40
65,398001,9,20
27,96219,13,45
50,150999,14,40
41,187462,11,40
45,128378,9,40
23,282604,7,60
41,206470,13,40
39,30916,9,40
33,170769,16,60
36,28996,10,45
27,169631,9,40
54,176681,9,20
29,126060,9,40
34,304872,5,40
33,149184,9,60
61,159908,7,32
46,119890,11,30
60,227266,9,33
34,103408,10,40
36,79649,10,40
36,110866,13,50
37,216924,9,44
24,215243,13,42
31,111883,9,40
36,111387,6,40
34,97723,13,40
31,240283,13,40
56,200235,11,48
44,201924,13,35
39,31670,9,65
56,213105,9,36
33,214635,9,50
43,272165,5,40
21,154165,9,35
29,123677,9,40
34,157466,9,45
29,52636,9,40
35,181020,9,60
44,83237,13,55
44,215304,13,45
18,78817,9,20
19,29510,10,20
29,202878,9,50
44,192878,9,40
84,155057,13,20
51,202752,9,40
19,163578,10,30
43,342567,13,40
73,161027,3,20
49,261688,9,60
19,121972,9,40
35,166549,8,40
33,177331,11,40
44,183342,15,55
21,252253,10,40
53,131258,15,50
36,192939,14,60
63,34098,6,56
37,305597,13,45
63,206052,9,40
78,316261,13,20
36,214378,9,40
48,180695,10,38
58,294313,10,55
47,175958,13,60
46,268022,13,40
49,30751,11,60
32,309513,12,40
39,231141,9,40
44,32000,10,18
70,145419,9,5
28,138692,13,40
38,100295,4,50
42,194710,10,40
57,194850,10,40
22,134192,10,10
47,95680,10,40
30,374454,9,40
41,187336,9,40
32,253354,14,50
55,102058,6,45
38,71701,11,40
37,183345,11,45
29,272913,9,30
65,153890,8,44
54,286342,14,32
43,35034,13,21
27,300777,9,70
45,132847,9,40
61,35001,4,40
34,98283,15,40
32,196342,16,40
46,248895,13,40
31,221167,13,30
53,96062,10,40
43,155106,11,40
34,250724,13,45
23,67958,10,30
65,145628,6,40
50,44368,9,55
57,132717,13,45
52,98752,5,40
35,135436,15,50
35,22641,9,40
38,409604,13,40
35,159179,10,40
54,391016,13,40
45,102147,9,40
42,202011,10,40
41,147314,9,50
26,425092,14,40
49,423222,14,50
51,146767,13,40
47,304857,14,40
24,209034,12,20
55,121912,10,24
28,300915,9,60
34,137814,10,45
60,123992,10,45
44,277720,10,35
37,120130,14,60
31,36069,9,35
56,226985,12,50
36,133974,11,40
41,92733,9,40
22,189924,10,50
38,207066,9,42
54,222882,9,45
32,217296,9,22
34,245173,9,45
49,371299,9,35
36,126675,14,50
25,321205,13,35
20,158206,10,30
34,234537,12,40
26,222248,9,70
36,184556,13,40
38,51838,9,40
46,116952,4,45
25,406955,9,40
55,327589,9,40
24,229773,10,35
35,189404,10,40
19,228238,9,40
31,213179,9,60
44,54310,14,40
18,280298,9,24
39,89419,11,40
39,243409,9,60
19,231688,10,20
35,360799,9,40
17,121037,8,15
21,34616,10,25
42,121055,13,60
21,204641,10,40
35,40135,9,30
30,375827,9,40
38,245372,13,45
37,66686,9,40
28,245790,9,40
52,76131,10,40
42,245626,9,60
43,117037,7,40
19,238474,7,40
36,67317,9,40
23,203076,10,40
47,249935,7,8
29,176760,15,55
49,181307,15,65
45,168038,13,60
52,260938,14,40
23,172232,9,50
20,117244,9,45
54,152652,9,65
58,189933,10,65
35,172571,11,50
27,240172,13,40
53,105788,13,50
35,107991,7,45
47,80924,10,35
18,301948,9,3
25,283515,10,60
32,142675,9,40
72,225780,16,30
25,122999,9,40
41,222504,15,38
46,90758,14,35
56,119859,10,40
64,237379,9,40
53,155983,14,65
41,194636,11,40
35,52187,10,30
38,82622,10,40
35,225860,11,40
42,246011,13,55
42,155972,9,40
62,208711,13,50
23,84648,10,25
52,143533,4,40
62,122246,10,39
39,192614,9,56
24,218678,13,40
56,119069,13,40
33,259931,7,30
25,366416,9,40
51,316059,10,36
24,216984,10,35
64,161325,12,50
28,499001,9,40
28,271572,5,52
28,37359,13,60
25,181772,10,40
49,165468,9,55
36,126946,10,40
54,312897,16,46
25,91709,12,45
19,170125,9,40
56,110257,9,40
48,168216,10,40
33,78707,7,40
45,199625,10,20
18,151386,9,40
47,114459,9,40
52,180062,10,60
19,52372,10,20
42,174216,15,38
22,200109,9,40
22,156933,9,25
31,279015,14,70
24,278130,12,40
20,34568,9,35
38,27997,11,40
22,615367,13,60
29,334221,10,18
33,256529,9,80
28,180928,10,55
30,96287,14,45
18,318190,7,15
34,41809,10,40
29,280344,13,40
65,207281,10,16
42,185764,10,60
52,329733,10,40
68,225612,13,35
60,234854,16,40
51,210736,9,40
46,98350,6,37
22,203263,9,50
42,33155,9,45
58,136841,13,35
35,114605,9,25
25,312338,11,40
48,107682,9,10
54,230951,13,40
20,226978,9,35
25,32275,10,40
51,198186,13,40
36,295127,9,84
27,381789,8,55
31,259705,9,40
56,81220,10,40
38,227615,2,40
38,194534,14,60
47,186410,15,60
64,272531,9,40
36,51089,13,50
57,153918,9,40
50,269095,9,40
36,138940,9,70
58,210673,10,40
37,161226,9,30
54,222020,6,70
26,177951,9,48
23,111450,8,38
52,138497,13,60
21,145119,10,20
42,69019,10,40
24,353696,10,20
51,335997,9,55
27,200928,10,22
41,282964,10,40
33,101345,13,40
24,215251,13,50
52,206862,9,40
32,168443,14,40
20,113200,10,6
49,278322,9,40
49,105614,9,50
39,189911,7,40
17,140117,6,12
32,160362,10,40
55,234327,10,40
42,121265,14,40
62,273454,4,40
37,121521,15,45
27,212506,10,40
57,199546,14,40
41,95708,14,45
23,237720,13,38
38,175232,9,45
25,182866,9,40
29,261375,9,60
42,433170,10,60
24,90046,10,40
33,55699,9,40
23,123490,7,35
29,151476,10,40
23,189924,10,40
21,198259,10,15
30,73796,13,40
34,260560,9,50
18,140164,7,40
46,272780,10,24
48,449354,9,45
25,232991,3,40
60,43235,13,50
32,180871,11,50
41,396467,12,50
81,137018,9,20
24,88095,10,24
58,183870,6,40
39,355468,9,46
38,31053,9,40
51,24344,12,40
80,101771,7,25
35,164526,9,40
37,31023,10,40
37,109633,13,16
40,104719,10,40
18,54440,10,30
54,226735,9,45
41,191451,14,60
65,209831,11,40
31,99844,9,45
43,174090,9,20
74,54732,10,20
51,162632,9,60
32,218407,10,70
39,86143,3,40
55,170166,13,25
35,187711,9,40
23,217169,13,40
34,152109,9,60
24,233419,9,40
35,285102,14,40
27,376150,10,25
18,138917,7,10
32,261059,10,50
57,342906,5,55
50,117496,9,30
39,129764,9,40
35,247750,9,40
59,183606,7,40
29,283760,13,40
58,298643,9,40
24,146706,10,30
42,172307,9,48
69,107548,5,40
29,111900,10,40
44,115932,14,40
30,169020,13,40
50,171338,10,50
26,252284,10,40
42,54102,11,40
51,175070,12,45
60,135285,14,40
46,176552,7,40
27,52156,10,60
60,367695,12,40
34,238246,13,40
51,128272,5,45
25,207875,4,40
30,229051,5,37
26,133756,9,40
38,202683,9,40
29,45554,10,40
59,171015,10,34
38,48779,10,40
23,227594,9,30
55,160662,16,80
62,159908,10,16
50,113176,9,40
43,263502,9,40
17,120068,7,17
31,101761,9,51
23,218678,7,40
24,85088,9,32
53,549341,13,35
17,277583,7,15
44,304530,10,55
38,177121,10,58
37,280464,10,80
44,222703,4,40
42,89073,9,48
58,159378,9,45
58,175127,9,40
18,152171,7,10
31,86492,11,30
51,209320,15,40
63,111306,4,10
23,291248,9,40
25,397962,9,40
39,103260,13,30
26,289980,3,30
51,43354,7,40
29,309463,5,40
54,294991,6,40
37,294292,15,40
29,188675,10,40
33,218164,9,40
34,87209,14,60
29,247053,9,40
47,204692,9,40
27,287476,9,40
45,208049,9,40
57,30030,9,40
20,258298,10,20
52,185407,11,48
24,180060,12,40
56,139616,13,45
39,746786,13,55
27,388998,13,46
23,214542,10,40
26,132572,13,40
20,41103,10,20
47,201127,10,50
43,159549,9,40
34,375680,12,40
36,437890,9,90
34,84154,13,50
54,172898,15,50
40,293809,13,20
46,128047,10,42
29,104737,9,60
18,257980,9,40
37,187748,10,40
49,137192,13,50
54,210736,9,40
34,168906,10,50
47,98726,13,40
51,154342,14,45
69,113035,2,4
33,37070,14,60
42,247019,9,40
46,294907,3,40
26,102476,13,64
59,114678,9,60
45,140644,13,40
40,341835,9,45
43,77370,9,40
25,103358,10,40
43,421837,10,40
28,171133,11,40
20,301199,10,24
20,305446,9,30
29,157941,13,40
44,77313,10,38
45,195949,9,40
55,204751,9,65
47,44257,13,60
57,107617,9,60
25,305449,10,40
23,200207,9,44
53,94081,13,44
40,193144,9,36
36,374983,7,40
33,176673,9,40
67,190661,16,50
50,103063,13,40
20,88126,10,9
76,278938,13,20
59,118358,9,40
46,109089,15,40
32,217304,13,30
37,187046,10,40
50,94885,13,45
33,554206,10,40
30,241583,10,40
29,206351,13,40
32,108467,13,55
21,103205,9,40
27,176727,13,40
57,211804,13,50
37,241174,13,99
38,34180,10,35
61,120939,15,5
47,344916,12,40
17,102726,8,16
22,237720,9,40
46,110457,14,55
32,206051,10,35
40,338740,9,40
56,67662,14,39
22,123876,10,20
19,319889,9,25
37,151771,4,40
33,157446,7,65
58,137547,13,40
61,229744,3,40
28,148645,12,40
46,194431,9,40
45,209912,13,40
88,187097,15,40
27,68037,10,45
66,36364,9,40
47,55377,13,40
31,100734,16,28
44,210648,13,40
23,181820,10,20
43,247514,14,40
23,56774,9,40
25,193379,12,45
46,297906,13,50
43,160815,11,40
38,414791,13,42
29,239632,9,40
27,315640,14,20
32,113364,10,30
21,185357,9,50
43,158528,9,40
69,197080,9,8
27,206125,6,60
31,198751,13,40
37,287031,10,75
25,176756,9,35
47,61885,13,40
27,194690,5,50
42,110028,9,40
32,61898,7,15
38,201617,9,40
54,365049,10,40
32,209691,13,42
41,177599,13,35
49,125421,9,40
21,185948,10,35
47,355978,16,45
23,249046,6,40
21,34816,11,12
39,101073,12,24
47,34248,9,38
30,89735,11,40
36,187999,9,40
19,286469,10,30
19,271521,9,24
22,73203,9,40
27,357348,9,50
41,32121,9,40
50,154779,10,40
43,403467,13,40
51,98642,9,40
30,246439,10,40
20,157595,9,40
35,183898,9,40
56,183081,10,45
22,208946,10,40
25,35854,10,40
20,284737,10,20
31,175778,13,40
34,146161,13,60
29,444304,13,40
33,180859,9,40
26,53903,9,50
39,225330,13,50
33,125856,9,40
26,318518,10,40
43,48882,9,40
37,201319,10,40
26,357933,10,15
32,362259,13,40
27,243871,10,45
52,259363,9,50
39,53926,13,40
36,27053,9,40
26,71009,13,40
25,207342,10,40
